iter	RMSE
0	6846.394066
1	6711.377137
2	6574.153478
3	6462.014601
4	6339.713474
5	6226.092862
6	6110.622278
7	5995.052979
8	5887.382671
9	5776.209468
10	5668.12598
11	5570.385818
12	5470.360175
13	5377.031568
14	5287.009351
15	5193.942609
16	5106.830915
17	5021.823358
18	4942.983983
19	4870.118294
20	4795.936225
21	4724.115178
22	4652.639098
23	4596.732627
24	4527.170138
25	4465.464692
26	4406.138228
27	4346.191165
28	4288.270253
29	4248.224005
30	4193.243486
31	4143.475263
32	4108.267729
33	4054.380697
34	4004.450752
35	3957.809566
36	3905.898962
37	3857.093213
38	3816.127586
39	3769.586133
40	3734.679269
41	3693.375303
42	3660.882522
43	3629.728747
44	3584.554625
45	3555.182341
46	3517.924077
47	3484.153683
48	3455.657771
49	3425.358574
50	3400.939984
51	3370.004317
52	3343.461288
53	3317.910762
54	3284.357411
55	3271.449549
56	3247.395381
57	3224.884314
58	3205.206533
59	3186.685799
60	3162.797002
61	3145.700161
62	3127.276002
63	3113.42058
64	3100.317559
65	3083.577636
66	3063.403234
67	3035.36326
68	3019.066987
69	2999.878629
70	2974.846518
71	2957.017629
72	2933.202937
73	2913.492579
74	2893.634648
75	2880.648874
76	2864.455455
77	2843.475304
78	2828.946548
79	2816.436365
80	2798.548402
81	2782.227445
82	2768.884076
83	2750.580559
84	2733.866533
85	2727.246921
86	2711.255128
87	2699.564571
88	2684.146238
89	2679.016608
90	2674.489405
91	2665.859921
92	2647.522959
93	2632.317802
94	2621.382771
95	2614.193386
96	2609.44591
97	2603.105506
98	2595.546717
99	2585.529763
100	2572.6912
101	2562.233711
102	2553.285548
103	2539.007169
104	2528.93296
105	2521.892049
106	2510.045348
107	2504.794631
108	2492.604213
109	2482.875589
110	2476.194888
111	2467.111288
112	2456.882636
113	2451.818349
114	2444.900075
115	2430.828368
116	2424.611794
117	2414.8525
118	2402.649806
119	2394.265472
120	2385.564166
121	2377.696485
122	2372.466457
123	2362.532079
124	2359.07206
125	2349.996263
126	2343.769685
127	2333.836792
128	2325.240179
129	2323.867964
130	2311.027318
131	2307.032886
132	2303.040313
133	2294.961163
134	2288.063438
135	2281.087378
136	2273.660387
137	2263.449468
138	2253.34799
139	2248.659104
140	2242.368436
141	2231.187495
142	2223.623048
143	2215.652091
144	2211.267122
145	2209.689407
146	2205.355618
147	2198.668015
148	2194.151341
149	2179.993548
150	2178.5078
151	2168.973157
152	2164.33345
153	2149.563572
154	2140.950516
155	2138.813597
156	2136.577501
157	2131.500296
158	2124.531464
159	2120.095185
160	2114.227772
161	2105.016108
162	2100.726316
163	2096.569741
164	2085.634786
165	2082.72099
166	2077.637055
